ಅಗ್ರಾಸನ ,"ಅಗ್ರಹಾರ, ಬ್ರಾಹ್ಮಣರಿಗೆ ದಾನ ಕೊಟ್ಟ ಭೂಮಿ; ಬ್ರಾಹ್ಮಣರ ಊಟದ ಶಾಲೆ"
ಅಘ ,ಪಾಪ; ನೋವು
page,14
ಅಘಚ್ಛಿದ ,ಪಾಪವನ್ನು ನಾಶಗೈಯುವ
ಅಘಜನ ,ಪಾಪಿಗಳು
ಅಘಜಾಲ(ಳ) ,ಪಾಪರಾಶಿ
ಅಘಟಮಾನ ,ನಡೆಯದ; ಹೊಂದಿಕೊಳ್ಳದ
ಅಘಪ(ವ)ಡು ,ಸೆರೆಸಿಕ್ಕು
ಅಘಮರ್ಷಣ ,ಪಾಪನಿವಾರಕ ಮಂತ್ರ
ಅಘವಟ್ಟಂ ,ಪಾಪಮಾಡಿದವನು
ಅಘವಿಘಟನ ,ಪಾಪಕ್ಷಯ
ಅಘವಿಘಾತ ,ಪಾಪನಾಶ
ಅಘಾತಿ ,ಕೊಲ್ಲದ
ಅಘಾತಿಕರ್ಮ ,"(ಜೈನ) ಜೀವದ ಅನಂತಜ್ಞಾನಾದಿ ಗುಣಗಳನ್ನು ನಾಶಮಾಡದ ವೇದನೀಯ, ಆಯು, ನಾಮ, ಗೋತ್ರ ಎಂಬ ನಾಲ್ಕು ಕರ್ಮಗಳು"
ಅಘಾರಿ ,ಪಾಪದ ಶತ್ರು
ಅಘಾಳಿ ,ಪಾಪ (ಅರ್ಥಸಂದಿಗ್ಧತೆಯ ಶಬ್ದ)
ಅಂಘ್ರಿಪ ,ಮರ
ಅಚರ ,ಚಲನವಿಲ್ಲದ
ಅಚಲ ,ಬೆಟ್ಟ
ಅಂಚಲ(ಳ) ,"ಅಂಚು, ಸೆರಗು"
ಅಚಲ(ಳ)ನಿತಂಬ ,ಬೆಟ್ಟದ ತಪ್ಪಲು
ಅಚಲರಿಪು ,"ಬೆಟ್ಟದ ಶತ್ರು, ಇಂದ್ರ"
ಅಂಚಿತ ,ಅಲಂಕೃತ
page,15
ಅಂಚಿರ ,"ಅಸ್ಥಿರ, ಚಂಚಲ"
ಅಚಿರಂ ,ಕೂಡಲೆ
ಅಚಿರಪ್ರಭೆ ,ಕ್ಷಣಿಕವಾದ ಬೆಳಕು
ಅಚಿರಾಂಶು ,ಅಚಿರಪ್ರಭೆ
ಅಂಚೆ ,ವಸ್ತ್ರ; ಹಂಸ; ಕೊನೆಯ ಭಾಗ
ಅಂಚೆದೇರ ,"ಹಂಸವಾಹನ, ಬ್ರಹ್ಮ"
ಅಂಚೆವಱಿ ,ಹಂಸದ ಮರಿ
ಅಂಚೆವಾಳತಿ ,ಬಾಣಂತಿ ಹಂಸ
ಅಂಚೆವಿಂಡು ,ಹಂಸದ ಹಿಂಡು
ಅಚೇಲಕ ,ವಸ್ತ್ರವಿಲ್ಲದ; ದಿಗಂಬರ
ಅಚ್ಚ ,ಶುದ್ಧ; ಇಂದ್ರಿಯ; ಜಪಮಣಿ
ಅಚ್ಚಗಡೆ ,ಸುಂದರವಾದ ರಂಗೋಲಿ
ಅಚ್ಚಗನ್ನಡ ,ಶುದ್ಧಗನ್ನಡ
ಅಚ್ಚಗಱುಂಕೆ ,"ಕೋಮಲವಾದ ಗರಿಕೆ, ದೂರ್ವೆ"
ಅಚ್ಚಗೆಂಡ ,ನಿಗಿನಿಗಿ ಕೆಂಡ
ಅಚ್ಚಗೊಂಡ ,ನಿಗಿನಿಗಿಸುವ ಕೆಂಡದ ಕೊಂಡ
ಅಚ್ಚಜೌವನೆ ,ಹೊಸ ಹರಯದವಳು
ಅಚ್ಚದಾವರೆ ,ಸುಂದರವಾದ ತಾವರೆ
ಅಚ್ಚದಿಂಗಳ್ ,ನಿರ್ಮಲವಾದ ಚಂದ್ರ
ಅಚ್ಚದುಗುಲ ,ನಿರ್ಮಲವಾದ ರೇಷ್ಮೆ ಬಟ್ಟೆ
page,16
ಅಚ್ಚದೊವರಿ ,ಶುದ್ಧವಾದ ತೊಗರಿ
ಅಚ್ಚನನೆ ,ಶುದ್ಧವಾದ ಹೂ
ಅಚ್ಚನೆ ,"ಚೆನ್ನಾಗಿ, ಸುಂದರವಾಗಿ"
ಅಚ್ಚಬಿಳಿದು ,ಅಪ್ಪಟ ಬಿಳಿಯ ಬಣ್ಣವುಳ್ಳ
ಅಚ್ಚಬೆಳಂತಿಗೆ ,ಪೂರ್ಣ ಬಿಳಿಪು
ಅಚ್ಚಬೆಳ್ದಿಂಗಳ್ ,ನಿರ್ಮಲವಾದ ಬೇಳುದಿಂಗಳು
ಅಚ್ಚಂಬೊಯ್ ,ಪುಟವಿಡು; ಶುದ್ಧಿಗೊಳಿಸು
ಅಚ್ಚಮಲ್ಲಿಗೆ ,ಬಿಳಿಯ ಮಲ್ಲಿಗೆ ಹೂ
ಅಚ್ಚಮಿಂಚು ,ಶುಭ್ರ ಹೊಳಪು
ಅಚ್ಚಮುತ್ತು ,ಶುಭ್ರಕಾಂತಿಯುಳ್ಳ ಮುತ್ತು
ಅಚ್ಚರ ,ದೇವತೆ
ಅಚ್ಚರ(ಸಿ)ಸೆ ,(ಅಪ್ಸರಸಿ) ಅಪ್ಸರೆ
ಅಚ್ಚರಿ ,ಆಶ್ಚರ್ಯ
ಅಚ್ಚರಿವಡು ,ಆಶ್ಚರ್ಯಹೊಂದು
ಅಚ್ಚರಿವಡೆ ,ಆಶ್ಚರ್ಯಪಡು; ಆಶ್ಚರ್ಯಪಡಿಸು
ಅಚ್ಚರಿವೀಱು ,ಅಚ್ಚರಿಯುಂಟುಮಾಡು
ಅಚ್ಚರಿವೆಱು ,ಬೆರಗುಗೊಳಿಸು
ಅಚ್ಚಲರ್ ,ಹೊಸ ಹೂ
ಅಚ್ಚವಳಿಕು ,ಶುಭ್ರ ಸ್ಫಟಿಕ
ಅಚ್ಚವೂ ,ಹೊಸ ಹೂ
page,17
ಅಚ್ಚವೆಳ್ದಿಂಗಳ್ ,ಶುಭ್ರ ಬೆಳುದಿಂಗಳು
ಅಚ್ಚಸೊಗ ,ಶುದ್ಧ ಸುಖ
ಅಚ್ಚೞಿ ,ಅಂದಗೆಡು
ಅಚ್ಚಾಡಿಸು ,ಸುತ್ತಾಡಿಸು
ಅಚ್ಚಾನೆ ,ಸೊಗಸಾದ ಆನೆ
ಅಚ್ಚಿ ,(ಅಕ್ಷಿ) ಕಣ್ಣು
ಅಚ್ಚಿಗ ,ದುಃಖ; ಕ್ಲೇಶ; ಕೇಡು; ಉತ್ಸಾಹ; ರೀತಿ
ಅಚ್ಚಿಗಂಗೊಳಿಸು ,ಕಷ್ಟಕ್ಕೀಡುಮಾಡು
ಅಚ್ಚಿಗಂಗೊಳ್ ,ತುಂಬ ದುಃಖಪಡು
ಅಚ್ಚಿಗಂಬಡಿಸು ,ತುಂಬ ವ್ಯಥೆಪಡು
ಅಚ್ಚಿಗೊಳಿಸು ,ದೃಷ್ಟಿಯನ್ನು ಸೆಳೆ
ಅಚ್ಚಿಮುಗುಳ್ಚು ,ಕಣ್ಣುಮುಚ್ಚು
ಅಚ್ಚಿಱಿ ,ಮುದ್ರೆಯೊತ್ತು; ಎರಕಹೊಯ್; ಒಂದುಗೂಡು
ಅಚ್ಚು ,(ಅಕ್ಷ) ಎರಕ ಹೊಯ್ದು ತಯಾರಿಸಿದ ವಸ್ತು; ಒತ್ತಿದ ಮುದ್ರೆ; ಬಂಡಿಯ ಇರಚಿ
ಅಚ್ಚುಕತನ ,ಉತ್ಸಾಹ; ಸಂಭ್ರಮ
ಅಚ್ಚುಡಿ ,ಎರಕದ ರೀತಿ ಒಂದಾಗು; ಬಂಡಿಯ ಅಚ್ಚು ಮುರಿದುಹೋಗು
ಅಚ್ಚುಲಾಯ್ಲ ,ಸೇವಕ
ಅಚ್ಚುಳ ,ಚರ್ಮದ ಕೆಲಸ
ಅಚ್ಚುಳಕೋಲ್ ,ಬಾರುಕೋಲು
ಅಚ್ಚುಳಾಯ್ತ ,ಸೇವಕ
page,18
ಅಚ್ಚೆ ,ಒಂದು ಬಗೆಯ ಮೀನು
ಅಚ್ಚೊತ್ತು ,ಅಚ್ಚಿನಲ್ಲಿ ಒತ್ತು; ಮುದ್ರೆಯೊತ್ತು
ಅಚ್ಛಂದ ,ಛಂದಸ್ಸು ಕೆಟ್ಟಿರುವ
ಅಚ್ಛಾಂಬು ,ಶುದ್ಧವಾದ ನೀರು
ಅಚ್ಛಾಯ ,ನೆರಳಿಲ್ಲದ್ದು
ಅಚ್ಛೋದ ,ನಿರ್ಮಲವಾದ ನೀರು; ತಿಳಿನೀರು; ಒಂದು  ಸರೋವರದ ಹೆಸರು
ಅಚ್ಛೋದಕ ,ನಿರ್ಮಲವಾದ ನೀರು
ಅಚ್ಯುತ ,ನಾಶವಿಲ್ಲದ; ವಿಷ್ಣು
ಅಚ್ಯುತಕಲ್ಪ ,(ಜೈನ) ಆ ಹೆಸರಿನ ಹದಿನಾರನೆಯ ಸ್ವರ್ಗ
ಅಚ್ಯುತಸೌಖ್ಯ ,ಶಾಶ್ವತಸುಖ
ಅಚ್ಯುತೇಂದ್ರ ,(ಜೈನ) ಅಚ್ಯುತಕಲ್ಪದ ಇಂದ್ರ
ಅಛ್ಯ ,ಅಚ್ಚ
ಅಜ ,ಹುಟ್ಟು ಇಲ್ಲದ; ದೇವರು; ಬ್ರಹ್ಮ; ಸೂರ್ಯ; ಜಿನ; ಸಮುದ್ರ
ಅಜಕುಕ್ಷಿ ,ಆಡಿನ ಹೊಟ್ಟೆಯಂತೆ ತೆಳ್ಳಗಿನ ಹೊಟ್ಟೆಯಿರುವ
ಅಜಗರ ,ಹೋತವನ್ನು ನುಂಗುವಂಥದು; ಹೆಬ್ಬಾವು
ಅಜಗರ್ಭಿಣಿ ,ಗಬ್ಬವಾದ ಆಡು
ಅಜಂಡ ,"ಹೊಲಿದು ಸೇರಿಸದ, ಬ್ರಹ್ಮಾಂಡ"
ಅಂಜನ ,ಕಾಡಿಗೆ; ಲೇಪನ
ಅಂಜನಚೋರ ,ಅಂಜನ ಹಚ್ಚಿಕೊಂಡು ಕಳ್ಳತನ ಮಾಡುವವನು
ಅಂಜನದಿಕ್ ,ಪಶ್ಚಿಮ
page,19
ಅಂಜನವಣ್ಣ ,ಕಾಡಿಗೆಯ ಬಣ್ಣ; ಕಪ್ಪು ಬಣ್ಣ
ಅಂಜನಸಿದ್ಧ ,ಅಂಜನ ಹಚ್ಚಿಕೊಂಡು ಅದ್ಭುತ ಕೆಲಸ ಮಾಡುವವನು
ಅಂಜನಿಸು ,ತಿರಸ್ಕರಿಸು
ಅಜನಿಸು ,ತಿರಸ್ಕರಿಸು (ಅರ್ಥಸಂದಿಗ್ಧತೆಯ ಶಬ್ದ)
ಅಂಜನೆ ,ಹನುಮಂತನ ತಾಯಿ; (ಜೈನ) ಒಂದು ನರಕದ ಹೆಸರು
ಅಜನ್ಮೆ ,ಜನ್ಮರಹಿತಳು
ಅಜಪೋತ ,ಆಡಿನ ಮರಿ
ಅಂಜಮೆ ,ಅಂಜಿಕೆ
ಅಂಜಮೆಗುಡು ,ಹೆದರಿಕೆಯನ್ನು ಹೋಗಲಾಡಿಸು
ಅಜರ ,ಮುಪ್ಪಿಲ್ಲದ; ದೇವತೆ ; ಜಿನ
ಅಂಜಲಿ ,ಬೊಗಸೆ
ಅಂಜವಲೆ ,ಭೀತಿ; ತಲ್ಲಣ (ಅರ್ಥಸಂದಿಗ್ಧತೆಯ ಶಬ್ದ)
ಅಜಸ್ರಂ ,ಯಾವಾಗಲೂ
ಅಜಾಕೃಪಾಣೀಯ ,"ಮೇಕೆ ಬರುವುದೂ, ಕತ್ತಿ ಬೀಳುವುದೂ ಒಂದಾಗಿ ಮೇಕೆ ಸಾಯುವುದು; ಆಕಸ್ಮಿಕ"
ಅಜಾಂಡ ,ಬ್ರಹ್ಮಾಂಡ
ಅಜಾತ ,ಜನ್ಮರಹಿತ; ವಿಷ್ಣು; ಶಿವ; ಜಿನ
ಅಜಾತಪೂರ್ವ ,ಹಿಂದೆಂದೂ ಜನಿಸದ
ಅಜಾತಶತ್ರು ,"ಶತ್ರುವೇ ಹುಟ್ಟದವನು, ಧರ್ಮರಾಯ"
ಅಜಾನೇಯ ,ಒಳ್ಳೆಯ ತಳಿಯ ಕುದುರೆ
ಅಂಜಿಕೆ ,ಹೆದರಿಕೆ
page,20
ಅಜಿತ ,ಜಯಿಸಲಸಾಧ್ಯನಾದವನು; ವಿಷ್ಣು; (ಜೈನ) ಎರಡನೆಯ ತೀರ್ಥಂಕರನಾದ ಅಜಿತನಾಥ
ಅಜಿನ ,ಚರ್ಮ
ಅಜಿನಾಂಬರ ,ಅಜಿನವನ್ನೇ ಉಟ್ಟವನು; ಶಿವ
ಅಜಿರ ,ಚುರುಕಾದ; ಅಂಗಳ; ಶರೀರ
ಅಂಜಿಸು ,ಹೆದರಿಸು
ಅಜಿಹ್ಮ ,ವಕ್ರವಲ್ಲದ; ನೇರಸ್ವಭಾವದ
ಅಜೀವ ,ಜೀವರಹಿತ; ಜಡವಾದ; (ಜೈನ) ಏಳು ತತ್ವಗಳಲ್ಲಿ ಎರಡನೆಯದು
ಅಜೀವ ,"ವೃತ್ತಿ; (ಜೈನ) ಸಾಧು, ಶ್ರಮಣ"
ಅಜೀವತತ್ವ ,ಅಜೀವ
ಅಜೀವರತ್ನ ,(ಜೈನ) ಚಕ್ರವರ್ತಿಗಳಿಗೆ ಸಹಜವಾಗಿ ಒದಗುವ ಹದಿನಾಲ್ಕು ರತ್ನಗಳಲ್ಲಿ ಒಂದು
ಅಂಜು ,"ಹೆದರು, ಭಯಪಡು"
ಅಂಜುಳಿ ,(ಅಂಜಲಿ) ಬೊಗಸೆ
ಅಜೆ ,"ಆಡು, ಹೆಣ್ಣು ಮೇಕೆ; ಭೂಮಿ"
ಅಜೇಯ ,ಗೆಲ್ಲಲಾಗದ
ಅಜ್ಜ ,(ಆರ್ಯ) ತಾತ; ಹಿರಿಯ; ವೃದ್ಧ
ಅಜ್ಜಗಾಪು ,ನಂಬಿಕೆಗೆ ಪಾತ್ರರಾದವರ ಕಾವಲು
ಅಜ್ಜಗೆ ,ಇರವಂತಿಗೆ
ಅಜ್ಜಪಜ್ಜರ್ ,(ಆರ್ಯಪ್ರಾರ್ಯರ್) ಪೂರ್ವಿಕರು
ಅಜ್ಜಱಿಗೞ್ತೆ ,ಹೇಸರಗತ್ತೆ
ಅಜ್ಜಿ ,ತಂದೆ ಅಥವಾ ತಾಯಿಯ ತಾಯಿ
page,21
ಅಜ್ಜಿ(ಜ್ಜು)ಗೆ ,ಇರವಂತಿ; ಮರುಗ
ಅಜ್ಜಿಕೆ ,"ಜೈನ ಸನ್ಯಾಸಿನಿ, ಕಂತಿ"
ಅಜ್ಞ ,ತಿಳಿಯದವನು; ಮೂರ್ಖ
ಅಜ್ಞತ್ವ ,ತಿಳಿಯದಿರುವಿಕೆ
ಅಜ್ಞಾನ ,ಜ್ಞಾನರಾಹಿತ್ಯ
ಅಜ್ಞಾನತ್ರಯ ,"(ಜೈನ) ಕುಮತಿ, ಕುಶ್ರುತ, ವಿಭಂಗ ಎಂಬ ಮೂರು ಬಗೆಯ ಅಜ್ಞಾನಗಳು"
ಅಜ್ಞಾಪರಿಸ್ಫುರಣೆ ,ಅಪ್ಪಣೆಯ ಪ್ರಕಟಣೆ
ಅಜ್ಞಾವಿಚಯ ,(ಜೈನ) ನಾಲ್ಕು ಬಗೆಯ ಧರ್ಮಧ್ಯಾನಗಳಲ್ಲಿ ಒಂದು; ಆಗಮಗುಣಗಳ ಕುರಿತಾದ ಚಿಂತನೆ
ಅಟನ ,ತಿರುಗಾಟ
ಅಟನಿ ,ಬಿಲ್ಲಿನ ತುದಿ
ಅಟಮಟಿಗ ,ಸುಳ್ಳುಗಾರ
ಅಟರ್ ,ಮೇಲೆ ಬೀಳು
ಅಟಲ ,ಅತಳ (ಅರ್ಥಸಂದಿಗ್ಧತೆಯ ಶಬ್ದ)
ಅಟವಿ ,"ಅಡವಿ, ಕಾಡು"
ಅಟವ್ಯ ,ಅರಣ್ಯ ಪ್ರದೇಶ
ಅಟಳ ,ಅತಳವೆಂಬ ಪಾತಾಳ
ಅಟಳಪಟಳ ,ಅತಳದ ಮೇಲ್ಭಾಗ
ಅಂಟಿಸು ,ಸೇರಿಸು
ಅಂಟಿಸುಂಟಿ ,ಒಂದು ಬೈಗುಳ
ಅಂಟು ,ಮುಟ್ಟು; ಜತೆಗೂಡು
page,22
ಅಂಟು ,ತಾಕು (ಅರ್ಥಸಂದಿಗ್ಧತೆಯ ಶಬ್ದ)
ಅಂಟುಗೊಳ್ ,ಅಂಟಿಕೊ; ನಾಟು
ಅಟ್ಟಕೞಿ ,ಸ್ನಾನದಲ್ಲಿ ಕೊಳೆ ಹೋಗಲು ಹಾಕಿಕೊಳ್ಳುವ ಗಂಜಿ
ಅಟ್ಟಗವಲ್ ,ಮರದ ಎತ್ತರವಾದ ಕವಲುಕೊಂಬೆ
ಅಟ್ಟಟ್ಟಿ ,ನಿಯೋಗ; ದೂತ
ಅಟ್ಟಟ್ಟಿಯಟ್ಟು ,ದೂತನನ್ನು ಕಳುಹಿಸು
ಅಟ್ಟವಣೆ ,ಪುಸ್ತಕವಿಡುವ ಪೀಠ
ಅಟ್ಟಹಾಸ ,ಗಟ್ಟಿಯಾದ ನಗು
ಅಟ್ಟಳೆ ,ಕೋಟೆಯ ಬುರುಜು
ಅಟ್ಟಾಲ(ಳ) ,ಅಟ್ಟಳೆ
ಅಟ್ಟಾಲ(ಳ) ,ಅಟ್ಟಲೆ
ಅಟ್ಟಾಲ(ಳ)ಕ ,ಅಟ್ಟಾಲ
ಅಟ್ಟಾಲಿಕೆ ,ಅಟ್ಟಾಲ
ಅಟ್ಟಾಸುರ ,ತುಂಬ ಭಯಂಕರವಾದ
ಅಟ್ಟಿಮುಟ್ಟು ,ಅಟ್ಟಿಸಿಕೊಂಡು ಹೋಗಿ ಮುಟ್ಟು
ಅಟ್ಟಿಸು ,ಕಳಿಸಿಕೊಡು; ಒಣಗಿಹೋಗು
ಅಟ್ಟಿಸು ,ಹಿಡಿ (ಅರ್ಥಸಂದಿಗ್ಧತೆಯ ಶಬ್ದ)
ಅಟ್ಟು ,"ಅಂಟು; ಬೆನ್ನುಹತ್ತಿ ಹೋಗು, ಅನುಧಾವನ; ಅಡಿಗೆ ಮಾಡು; ಮೇಲ್ಭಾಗದ ಬದು"
ಅಟ್ಟುಂಗರೆ ,ಬಚ್ಚಿಟ್ಟುಕೊಂಡವರನ್ನು ಹಿಡಿಯುವ ಆಟ (ಅರ್ಥಸಂದಿಗ್ಧತೆಯ ಶಬ್ದ)
ಅಟ್ಟುಂಜಗಳ ,ಬೆನ್ನಟ್ಟಿ ಮಾಡುವ ಜಗಳ (ಅರ್ಥಸಂದಿಗ್ಧತೆಯ ಶಬ್ದ)
page,23
ಅಟ್ಟುಪಡು ,ಬೆನ್ನಟ್ಟುವಿಕೆಗೆ ಒಳಗಾಗು
ಅಟ್ಟುಪೆ(ವೆ)ಱು ,ಅಟ್ಟುಪೆಡು
ಅಟ್ಟುಂಬರಿ ,ಬೆನ್ನಟ್ಟಿ ಹೋಗು; ಅಭೇದ್ಯ ಸಂಬಂಧ
ಅಟ್ಟುಂಬರಿಗೊಳ್ ,ಅಟ್ಟಿಸಿಕೊಂಡು ಹೋಗು
ಅಟ್ಟುಂಬೆಸ ,ಹೇಳಿಕಳಿಸಿ ಮಾಡುವ ಕೆಲಸ
ಅಟ್ಟೆ ,ಮುಂಡ; ಚಪ್ಪಲಿಯ ತಳಭಾಗದ ಹಲ್ಲೆ
ಅಟ್ಟೆಯಾಟ ,ತಲೆ ಕತ್ತರಿಸಿದ ಮೇಲೆ ಮುಂಡದ ಕುಣಿದಾಟ
ಅಟ್ಟೆಯಿಡು ,ದೇಹವನ್ನು ಚಾಚು
ಅಟ್ಟೆಲೆ(ಳೆ) ,"ಅಟ್ಟಣೆ, ಕೊತ್ತಳ, ಬುರುಜು, ಕೋಟೆಯ ಮೇಲಿನ ಕಾವಲುಗಾರನ ಕೊಠಡಿ"
ಅಟ್ಟೆವಣೆಕೋಲ್ ,ಪುಸ್ತಕವಿರಿಸುವ ಪೀಠ; ವ್ಯಾಸಪೀಠ
ಅಡ(ಂ)ಗು ,ಮಾಂಸ; ಜೋಡಣೆ
ಅಡಕ ,ಹಿಡಿತದಲ್ಲಿಟ್ಟುಕೊ; ಸಂಯಮ; ವಿಧೇಯತೆ
ಅಡಕಂಬೆರಸು ,ಅಳವಡಿಸು (ಅರ್ಥಸಂದಿಗ್ಧತೆಯ ಶಬ್ದ)
ಅಡಕಿಲಿಡು ,ಪೇರಿಸು
ಅಡಕಿಲ್ ,ಪೇರಿಸಿಡುವುದು
ಅಡಕಿಲ್ಗಿರಿ ,ಪೇರಿಸಿದ ಬೆಟ್ಟಗಳು
ಅಡಕಿಲ್ಗೊಳ್ ,ಪೇರಿಸಿರು; ದಟ್ಟವಾಗು
ಅಡಕಿಲ್ಜವನ ,ಏರಿಸಿದ ಯೌವನ
ಅಡಕಿಲ್ವಾಸು ,ಪೇರಿಸಿದ ಹಾಸಿಗೆ
ಅಡಕಿಲ್ವುಣ್ ,ಹುಣ್ಣ ಮೇಲೆ ಹುಣ್ಣು
page,24
ಅಡಕಿಲ್ವೆಸರ್ ,ಒಂದರ ಮೇಲೆ ಒಂದು ಪೇರಿಸಿಕೊಂಡ ಹೆಸರು
ಅಡಕಿಲ್ವೊಂದು ,ಒಂದರ ಮೇಲೊಂದು ಇರಿಸು
ಅಡಕು ,ತುಂಬು; ನಿಯಮ; ಸಂಯಮ
ಅಡಂಗಾಯ್ತ ,ಕೋಟೆ ರಕ್ಷಿಸುವವನು
ಅಡಗಿಂಡೆ ,ಮಾಂಸದ ಮುದ್ದೆ
ಅಡಗಿಂಡೆಯಾಡು ,ಮಾಂಸದ ಮುದ್ದೆಗಳನ್ನು ಚೆಲ್ಲಾಡು
ಅಡಂಗಿಸು ,ಮರೆಮಾಚು; ಬಚ್ಚಿಡು
ಅಡಂಗು ,ಬಚ್ಚಿಟ್ಟುಕೋ; ಹಿಂದಕ್ಕೆ ಸರಿ; ಶಮನವಾಗು; ಸೇರಿಹೋಗು; ಪರಿಮಿತಿಗೆ ಒಳಪಡು
ಅಡಗುತಿನ್ ,ಅಡಗನ್ನು ತಿನ್ನು
ಅಡಂಗುಱುಚಾಟ ,ಕಣ್ಣುಮುಚ್ಚಾಲೆಯಾಟ
ಅಡಂಗುಱುಚಾಡು ,ಕಣ್ಣುಮುಚ್ಚಾಲೆ ಅಟವಾಡು
ಅಡಂಗೊತ್ತು ,ತಿರಿಚು
ಅಂಡಜ ,"ಮೊಟ್ಟೆಯಿಂದ ಹುಟ್ಟಿದ್ದು, ಹಕ್ಕಿ"
ಅಡಟ್ಡವಣೆ ,ಕಂಬಗಳ ಮೇಲೆ ಜೋಡಿಸಲಾದ ಮಣೆ
ಅಡದಿನ್ ,ಅಡಗನ್ನು ತಿನ್ನು
ಅಡಪ ,ಎಲೆಯಡಕೆಯ ಚೀಲ
ಅಡಪ(ಹ)ಡಿಸು ,ತವಕಿಸು
ಅಡಪಗಿತ್ತಿ ,ಒಡೆಯನ ಎಲೆಯಡಿಕೆ ಚೀಲ ಹಿಡಿಯುವವಳು
ಅಡಪಂಬಿಡಿ ,ಎಲೆಯಡಿಕೆ ಚೀಲವನ್ನು ಹಿಡಿದುಕೊ
ಅಡಪವಳ ,ಒಡೆಯನ ಎಲೆಯಡಿಕೆ ಚೀಲ ಹಿಡಿಯುವವನು
page,25
ಅಡಪವಳಿತಿ ,ಅಡಪಗಿತ್ತಿ
ಅಡಪಿಗ ,ಅಡಪವಳ
ಅಡಪು ,ನಾಟ್ಯದ ಒಂದು ಭಂಗಿ
ಅಡಬಳ ,"ಅಡಿಗೆಯವನು, ಬಾಸಿಗ"
ಅಡರಿಸು ,ಹತ್ತಿಸು
ಅಡರ್ ,ಮೇಲಕ್ಕೆ ಹತ್ತು; ವ್ಯಾಪಿಸು; ಸೇರು
ಅಡರ್ಪು ,ಆಧಾರ; ಆಶ್ರಯ; ಔನ್ನತ್ಯ
ಅಡರ್ಪುಗುಡು ,ಆಶ್ರಯ ನೀಡು
ಅಡರ್ಪುಮಾಡು ,ಆಶ್ರಯವಾಗಿ ಮಾಡು
ಅಂಡಲೆ ,ಪೀಡಿಸು; ಆಸನ್ನಪೀಡನ; ಕೋಟಲೆ
ಅಂಡಲೆವಡೆ ,ತೊಂದರೆಗೆ ಗುರಿಯಾಗು
ಅಡವಡಿಸು ,ಆತಂಕಪಡು
ಅಡವಿ ,ಕಾಡು
ಅಡವಿಗಿರ್ಚು ,ಕಾಡುಗಿಚ್ಚು
ಅಡವಿಮೃಗ ,ಕಾಡುಮೃಗ
ಅಡವು ,ರೀತಿ; ಹದ
ಅಡಸು ,"ಒತ್ತಾಗಿ ಸೇರಿಸು, ತುರುಕು; ಮೆತ್ತು; ಮೇಲೆ ಬೀಳು; ಸಂಭವಿಸು; ನುಗ್ಗು; ಸೇರು"
ಅಡಹಡಿಸು ,ತ್ವರೆಮಾಡು; ಮುನ್ನುಗ್ಗು
ಅಡಾಯುಧ ,ಒಂದು ಬಗೆಯ ಕತ್ತಿ
ಅಡಿ ,ಪಾದ; ವಿರೋಧ
page,26
ಅಡಿಗಡಿಗೆ ,ಹೆಜ್ಜೆಹೆಜ್ಜೆಗೆ; ಮತ್ತೆ ಮತ್ತೆ
ಅಡಿಗರ್ದು ,ತಳಕ್ಕೆ ಮುಳುಗಿಸು
ಅಡಿಗಲ್ ,ತಳಹದಿ; ಆಧಾರ
ಅಡಿಗಲ್ಲಿಕ್ಕು ,ತಳಹದಿ ಹಾಕು
ಅಡಿಗಾಣ್ ,ತಳ ಕಾಣು
ಅಡಿಗಿ(ಗೆ)ಡು ,ನಡಿಗೆ ಕೆಡು; ನೆಲೆ ತಪ್ಪು
ಅಡಿಗಿಕ್ಕು ,ಕೆಳಕ್ಕೆ ಹಾಕು
ಅಡಿಗುಟ್ಟು ,ಕಾಲನ್ನು ಒತ್ತು; ಕುಣಿ
ಅಡಿಗೊಳಂಗು ,ಗೊರಸಿನ ಕೆಳಭಾಗ
ಅಡಿಗೊಳ್ ,ಓಡು
ಅಡಿದಳಿರ್ ,ಚಿಗುರಿನಂತೆ ಕೋಮಲವಾದ ಪಾದ
ಅಡಿಮಂಚಿಕೆ ,ಕೆಳಮಂಚ
ಅಡಿಮಾಡು ,ಕೀಳಾಗಿ ಮಾಡು
ಅಡಿಮಿಡುಕು ,ಹೆಜ್ಜೆಯನ್ನು ಅಲುಗಿಸು
ಅಡಿಮೊದಲ್ ,ಅಡಿಯ ತಳಭಾಗ
ಅಡಿಯಿಡು ,ಹೆಜ್ಜೆಯಿಡು; ಮುಂದುವರಿ
ಅಡಿಯೂಡು ,ಪಾದಕ್ಕೆ ಲೇಪನ ಮಾಡು; ಅಂಗಾಲು ತಿಕ್ಕು
ಅಡಿಯೆತ್ತು ,ಹೆಜ್ಜೆ ಎತ್ತು; ಹೊರಡು
ಅಡಿರುಚಿ ,ಪಾದದ ಕಾಂತಿ
ಅಡಿವಜ್ಜೆ ,ಹೆಜ್ಜೆಯ ಗುರುತು
page,27
ಅಡಿವಣಿಗೆ ,ಕೆಸರಿನ ಹೆಜ್ಜೆಯ ಗುರುತು
ಅಡಿವಿಡಿ ,ಅನುಸರಿಸು
ಅಡಿವೊಣರ್ ,ಪಾದಯುಗಳ
ಅಡು ,ಬೇಯಿಸು; ಆ ಕಾಡು
